Escherichia coli
Salmonella enterica
Klebsiella pneumoniae
Yersinia pestis
Vibrio cholerae
Pseudomonas aeruginosa
Pseudomonas putida
Acinetobacter baumannii
Helicobacter pylori
Campylobacter jejuni
Neisseria meningitidis
Bordetella pertussis
Legionella pneumophila
Brucella melitensis
Rickettsia rickettsii
Rhizobium leguminosarum
Azotobacter vinelandii
Caulobacter crescentus
Zymomonas mobilis
Pelagibacter ubique
Bacillus subtilis
Bacillus cereus
Bacillus anthracis
Listeria monocytogenes
Staphylococcus aureus
Staphylococcus epidermidis
Streptococcus pneumoniae
Streptococcus pyogenes
Enterococcus faecalis
Lactobacillus plantarum
Clostridium botulinum
Clostridium difficile
Clostridium perfringens
Mycoplasma pneumoniae
Streptococcus agalactiae
Mycobacterium tuberculosis
Mycobacterium smegmatis
;Corynebacterium diphtheriae
Corynebacterium glutamicum
Streptomyces coelicolor
Streptomyces avermitilis
Bifidobacterium longum
Cutibacterium acnes
Nocardia farcinica
Rhodococcus jostii
Bacteroides fragilis
Bacteroides thetaiotaomicron
Prevotella copri
Porphyromonas gingivalis
Flavobacterium johnsoniae
Capnocytophaga canimorsus
Synechocystis sp. PCC 6803
Synechococcus elongatus
Prochlorococcus marinus
Nostoc sp. PCC 7120
Borrelia burgdorferi
Treponema pallidum
Leptospira interrogans
Chlamydia trachomatis
Chlamydia pneumoniae
