species_binomial	organism_name	assembly_accession	taxid	species_taxid	assembly_level	version_status	refseq_category	ftp_path	protein_faa_url
Acinetobacter baumannii	Acinetobacter baumannii ACICU	GCF_000018445.1	405416	470	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/445/GCF_000018445.1_ASM1844v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/445/GCF_000018445.1_ASM1844v1/GCF_000018445.1_ASM1844v1_protein.faa.gz
Acinetobacter baumannii	Acinetobacter baumannii	GCF_009035845.1	470	470	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/035/845/GCF_009035845.1_ASM903584v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/035/845/GCF_009035845.1_ASM903584v1/GCF_009035845.1_ASM903584v1_protein.faa.gz
Azotobacter vinelandii	Azotobacter vinelandii DJ	GCF_000021045.1	322710	354	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/045/GCF_000021045.1_ASM2104v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/045/GCF_000021045.1_ASM2104v1/GCF_000021045.1_ASM2104v1_protein.faa.gz
Azotobacter vinelandii	Azotobacter vinelandii CA	GCF_000380335.1	1283330	354	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/335/GCF_000380335.1_ASM38033v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/335/GCF_000380335.1_ASM38033v1/GCF_000380335.1_ASM38033v1_protein.faa.gz
Bacillus anthracis	Bacillus anthracis str. Ames	GCF_000007845.1	198094	1392	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/845/GCF_000007845.1_ASM784v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/845/GCF_000007845.1_ASM784v1/GCF_000007845.1_ASM784v1_protein.faa.gz
Bacillus anthracis	Bacillus anthracis str. 'Ames Ancestor'	GCF_000008445.1	261594	1392	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/445/GCF_000008445.1_ASM844v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/445/GCF_000008445.1_ASM844v1/GCF_000008445.1_ASM844v1_protein.faa.gz
Bacillus cereus	Bacillus cereus ATCC 14579	GCF_000007825.1	226900	1396	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/825/GCF_000007825.1_ASM782v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/825/GCF_000007825.1_ASM782v1/GCF_000007825.1_ASM782v1_protein.faa.gz
Bacillus cereus	Bacillus cereus ATCC 14579	GCF_006094295.1	226900	1396	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/094/295/GCF_006094295.1_ASM609429v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/094/295/GCF_006094295.1_ASM609429v1/GCF_006094295.1_ASM609429v1_protein.faa.gz
Bacillus subtilis	Bacillus subtilis subsp. subtilis str. 168	GCF_000009045.1	224308	1423	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/045/GCF_000009045.1_ASM904v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/045/GCF_000009045.1_ASM904v1/GCF_000009045.1_ASM904v1_protein.faa.gz
Bacillus subtilis	Bacillus subtilis BSn5	GCF_000186745.1	936156	1423	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/745/GCF_000186745.1_ASM18674v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/745/GCF_000186745.1_ASM18674v1/GCF_000186745.1_ASM18674v1_protein.faa.gz
