component_id	size	num_edges	n_species	species_entropy	species_entropy_norm	high_z_frac	max_z	top10_mean_z
0	107	374	22	2.892336	0.935715	0.005348	5.835906	3.505134
1	99	452	48	3.838959	0.991671	0.000000	1.508020	1.448084
2	98	553	49	3.877674	0.996365	0.343580	14.091024	13.173473
3	97	634	50	3.903001	0.997694	0.250789	7.978279	7.846619
4	97	620	50	3.903001	0.997694	0.232258	10.551008	8.599798
5	97	632	50	3.903001	0.997694	0.604430	19.809716	16.903430
6	96	530	50	3.900082	0.996948	0.115094	9.456606	7.909417
7	95	469	49	3.882619	0.997636	0.000000	1.540408	1.352124
8	95	589	49	3.882619	0.997636	0.466893	15.706135	14.259310
9	95	538	49	3.882619	0.997636	0.070632	5.954932	5.428110
10	94	549	48	3.864895	0.998371	0.014572	4.435097	3.696692
11	93	656	42	3.703177	0.990771	0.176829	11.634102	9.265246
12	89	501	46	3.812975	0.995908	0.007984	3.410972	3.052904
13	89	453	46	3.818854	0.997444	0.048565	5.384855	4.470287
14	87	505	45	3.796663	0.997373	0.015842	3.864928	3.396497
15	85	517	44	3.773968	0.997299	0.000000	2.193209	1.886087
16	85	508	41	3.680110	0.990989	0.000000	2.164270	1.789767
17	84	373	43	3.754173	0.998132	0.069705	4.696583	4.197394
18	83	495	43	3.750747	0.997221	0.046465	6.755726	5.502221
19	80	330	37	3.567579	0.987998	0.024242	3.511940	3.198288
20	80	327	42	3.723537	0.996219	0.000000	1.404628	0.968013
21	77	301	41	3.695668	0.995179	0.000000	2.624725	2.488291
22	76	286	40	3.674068	0.995985	0.000000	2.815098	1.908360
23	75	485	38	3.633583	0.998899	0.309278	7.936203	7.713348
24	75	477	38	3.633583	0.998899	0.016771	4.084390	3.802447
25	75	368	36	3.527210	0.984287	0.021739	3.419919	3.015568
26	73	333	37	3.606807	0.998862	0.000000	1.485713	1.250066
27	72	291	37	3.602773	0.997744	0.006873	3.651954	2.239068
28	72	301	37	3.595506	0.995732	0.006645	3.088327	1.845125
29	72	285	33	3.434206	0.982182	0.000000	1.631186	1.538547
30	72	320	37	3.602773	0.997744	0.031250	4.569589	3.792934
31	71	306	36	3.579295	0.998821	0.084967	3.721960	3.618361
32	71	332	31	3.290820	0.958309	0.063253	5.754461	4.608439
33	69	442	35	3.551005	0.998778	0.000000	2.998675	2.945590
34	69	398	36	3.571096	0.996533	0.211055	6.640416	5.503311
35	67	389	35	3.542582	0.996409	0.149100	7.826112	7.498408
36	66	243	30	3.312616	0.973956	0.000000	2.173184	1.603522
37	65	362	33	3.491904	0.998683	0.204420	6.954810	6.400382
38	63	222	29	3.306957	0.982081	0.031532	3.219517	2.914735
39	60	239	31	3.424302	0.997180	0.000000	2.885788	2.207825
40	57	336	29	3.362065	0.998446	0.119048	6.401530	5.252361
41	57	357	30	3.386386	0.995645	0.280112	15.048351	14.240184
42	57	225	31	3.410706	0.993220	0.000000	2.153190	1.692688
43	56	163	31	3.406470	0.991987	0.000000	1.383010	0.827336
44	55	233	29	3.351994	0.995456	0.128755	7.856018	6.691339
45	55	266	29	3.351994	0.995456	0.015038	3.579882	2.971548
46	54	280	27	3.295837	1.000000	0.000000	2.263630	2.200666
47	53	234	28	3.316379	0.995251	0.038462	7.029524	5.087953
48	52	169	23	3.084549	0.983752	0.029586	4.139307	3.218284
49	51	198	26	3.252270	0.998212	0.000000	1.909137	1.281327
50	51	198	24	3.143541	0.989140	0.010101	12.783376	3.909657
51	51	328	26	3.252270	0.998212	0.024390	4.645698	3.992063
52	51	221	27	3.279452	0.995029	0.000000	2.956665	2.240947
53	49	222	26	3.241111	0.994787	0.000000	1.852600	1.521934
54	49	248	27	3.269402	0.991979	0.072581	11.600624	6.689348
55	48	314	17	2.773718	0.979001	0.121019	5.792715	4.981831
56	48	131	24	3.178054	1.000000	0.000000	0.555349	0.340383
57	47	308	24	3.171748	0.998016	0.000000	2.535585	2.244268
58	47	100	24	3.171748	0.998016	0.000000	1.717758	1.312631
59	46	307	23	3.105357	0.990388	0.309446	12.948330	11.281784
60	46	149	24	3.165631	0.996091	0.000000	2.722557	1.678572
61	46	205	24	3.165631	0.996091	0.000000	2.842463	2.394740
62	45	282	23	3.128919	0.997903	0.418440	13.523506	11.531318
63	45	172	22	3.074857	0.994764	0.000000	2.890621	1.572846
64	45	228	22	3.055678	0.988559	0.096491	9.694021	7.274819
65	45	109	20	2.901645	0.968593	0.000000	2.357124	1.257790
66	44	170	22	3.091042	1.000000	0.070588	6.446420	4.688323
67	44	271	23	3.122549	0.995871	0.029520	3.140590	3.009027
68	43	258	22	3.084173	0.997778	0.000000	2.795182	2.510549
69	43	152	23	3.116412	0.993914	0.013158	3.417241	2.662779
70	41	140	21	3.037331	0.997638	0.000000	1.604512	1.106130
71	40	269	21	3.030390	0.995358	0.000000	2.216921	1.706576
72	40	218	21	3.030390	0.995358	0.000000	2.018464	1.514770
73	40	158	20	2.920101	0.974754	0.000000	1.559831	1.230595
74	40	199	21	3.030390	0.995358	0.412060	8.581844	7.653812
75	39	168	20	2.988187	0.997481	0.011905	3.632862	2.565559
76	39	112	15	2.605894	0.962277	0.035714	3.336411	2.623223
77	39	176	19	2.881549	0.978641	0.130682	5.487364	4.588839
78	39	237	21	3.023733	0.993172	0.092827	7.648389	5.774289
79	39	78	19	2.881549	0.978641	0.000000	1.102509	0.072418
80	38	185	19	2.907958	0.987610	0.172973	5.920811	5.368222
81	38	186	20	2.944439	0.982878	0.053763	8.904015	6.152999
82	38	139	16	2.684241	0.968135	0.057554	11.489643	6.761043
83	37	86	21	3.011439	0.989134	0.000000	0.702406	0.361551
84	37	122	18	2.861570	0.990035	0.000000	0.811685	0.552279
85	37	232	19	2.936504	0.997305	0.000000	2.042463	1.843041
86	37	115	19	2.936504	0.997305	0.000000	1.220409	0.966055
87	37	102	20	2.973972	0.992736	0.000000	-0.042807	-0.078567
88	36	121	18	2.890372	1.000000	0.000000	0.234979	0.179500
89	36	120	18	2.890372	1.000000	0.000000	2.556779	2.223104
90	36	200	19	2.914345	0.989779	0.390000	8.604146	7.694713
91	36	105	19	2.928880	0.994716	0.000000	0.674491	0.470095
92	35	192	18	2.882005	0.997105	0.031250	4.637550	2.927226
93	35	193	17	2.748230	0.970005	0.072539	8.032962	6.845509
94	35	114	18	2.882005	0.997105	0.070175	20.963778	11.066923
95	35	151	19	2.921613	0.992248	0.092715	4.855792	4.267264
96	35	101	15	2.597527	0.959187	0.000000	2.030552	1.681693
97	35	164	20	2.961222	0.988480	0.000000	1.455350	1.141443
98	35	108	17	2.802788	0.989261	0.000000	1.955658	1.336839
99	34	68	16	2.751667	0.992454	0.000000	0.321376	0.010693
100	34	111	15	2.629347	0.970937	0.000000	2.715431	2.031071
101	34	154	17	2.833213	1.000000	0.194805	6.678679	6.391110
102	34	99	18	2.873987	0.994331	0.000000	1.649011	1.164868
103	34	117	16	2.736277	0.986903	0.034188	3.133077	2.782732
104	34	180	17	2.833213	1.000000	0.000000	2.873151	2.335025
105	33	166	18	2.866374	0.991697	0.024096	3.107946	2.614211
106	33	135	16	2.740347	0.988371	0.029630	12.175194	6.374577
107	33	177	19	2.908383	0.987754	0.090395	8.404587	4.916435
108	32	145	16	2.772589	1.000000	0.000000	0.948098	0.808388
109	32	155	15	2.642624	0.975840	0.045161	4.142919	3.633604
110	32	78	16	2.772589	1.000000	0.000000	0.338642	-0.242131
111	31	79	16	2.763200	0.996614	0.000000	1.477110	0.589836
112	31	137	15	2.673761	0.987338	0.000000	2.022816	1.328500
113	31	160	15	2.673761	0.987338	0.343750	14.844270	10.305525
114	31	151	16	2.763200	0.996614	0.000000	1.488157	1.271534
115	31	155	6	1.361635	0.759943	0.000000	2.342256	1.550493
116	31	74	17	2.807919	0.991072	0.000000	0.200451	-0.283676
117	31	108	13	2.494885	0.972684	0.000000	1.190906	1.010107
118	31	77	15	2.673761	0.987338	0.000000	1.078115	0.751180
119	30	209	15	2.708050	1.000000	0.000000	1.894974	1.728778
120	30	54	16	2.754260	0.993389	0.000000	2.280127	1.805300
121	30	160	15	2.708050	1.000000	0.000000	1.913266	1.510482
122	30	94	15	2.708050	1.000000	0.000000	1.213782	0.822441
123	30	61	16	2.754260	0.993389	0.000000	0.643695	0.265343
124	30	81	15	2.615631	0.965872	0.000000	2.813972	2.325623
125	30	86	14	2.598189	0.984514	0.000000	1.175309	0.849000
126	30	86	16	2.754260	0.993389	0.000000	2.102482	1.809407
127	30	97	16	2.754260	0.993389	0.000000	2.754565	1.553590
128	30	165	16	2.754260	0.993389	0.103030	11.595682	8.004158
129	29	117	14	2.584401	0.979289	0.205128	4.962316	4.633616
130	29	168	15	2.698050	0.996307	0.119048	7.569836	7.237138
131	29	152	15	2.698050	0.996307	0.092105	22.500837	11.227230
132	29	115	15	2.698050	0.996307	0.104348	5.805298	4.825224
133	29	96	13	2.506837	0.977344	0.062500	4.771915	3.109595
134	29	82	15	2.698050	0.996307	0.000000	0.107719	0.022884
135	29	172	15	2.698050	0.996307	0.011628	5.034908	1.770563
136	29	56	15	2.698050	0.996307	0.000000	0.980053	0.237623
137	28	115	14	2.620370	0.992919	0.191304	7.694322	6.116095
138	28	150	14	2.639057	1.000000	0.026667	3.199832	1.941967
139	28	150	9	2.029355	0.923599	0.213333	12.138514	9.903280
140	28	54	14	2.620370	0.992919	0.000000	1.596286	1.405381
141	28	77	15	2.688568	0.992806	0.000000	1.824789	1.100522
142	28	140	15	2.688568	0.992806	0.142857	6.598136	5.050656
143	28	52	14	2.639057	1.000000	0.000000	-0.172967	-0.262760
144	28	112	13	2.540036	0.990287	0.000000	2.751254	2.442704
145	28	118	15	2.688568	0.992806	0.084746	4.082422	3.782826
146	28	122	14	2.589547	0.981239	0.000000	1.828667	1.518017
147	28	139	15	2.669880	0.985905	0.000000	2.472246	2.359812
148	28	120	13	2.490526	0.970984	0.000000	1.425513	1.186967
149	27	182	14	2.628362	0.995947	0.000000	2.826845	2.223573
150	27	142	14	2.628362	0.995947	0.000000	1.669844	1.353090
151	27	104	14	2.628362	0.995947	0.038462	4.933287	3.111665
152	27	71	14	2.628362	0.995947	0.000000	1.703760	1.225647
153	27	173	14	2.608982	0.988604	0.104046	14.328302	8.085969
154	27	101	14	2.628362	0.995947	0.178218	4.971388	4.478472
155	27	66	14	2.628362	0.995947	0.060606	3.289018	1.942298
156	27	135	14	2.628362	0.995947	0.000000	0.487492	0.239986
157	27	139	14	2.628362	0.995947	0.028777	4.029550	3.055954
158	27	53	15	2.679706	0.989533	0.000000	1.219046	0.819095
159	27	113	12	2.422985	0.975081	0.035398	8.584337	4.715220
160	27	66	15	2.679706	0.989533	0.181818	5.892576	5.005115
161	27	180	14	2.628362	0.995947	0.200000	14.769113	9.159194
162	27	78	11	2.320296	0.967639	0.000000	0.169121	0.098404
163	26	109	13	2.491505	0.971366	0.000000	2.957486	2.548500
164	26	74	13	2.564949	1.000000	0.000000	0.489435	0.048728
165	26	140	13	2.564949	1.000000	0.171429	4.671704	4.459400
166	26	114	13	2.564949	1.000000	0.070175	3.818601	3.363159
