u	species	component_id	score
GCF_000005845.2_ASM584v2|NP_414549.1	Escherichia coli	1245	0.000000
GCF_000007925.1_ASM792v1|WP_011124673.1	Prochlorococcus marinus	1245	0.000000
GCF_000005845.2_ASM584v2|NP_414555.1	Escherichia coli	15	0.000000
GCF_000006945.2_ASM694v2|NP_459017.1	Salmonella enterica	15	0.000000
GCF_000007545.1_ASM754v1|WP_000516126.1	Salmonella enterica	15	0.000000
GCF_000009885.1_ASM988v1|WP_004146997.1	Klebsiella pneumoniae	15	0.000000
GCF_000240185.1_ASM24018v2|YP_005225024.1	Klebsiella pneumoniae	15	0.000000
GCF_000006645.1_ASM664v1|WP_002209248.1	Yersinia pestis	15	0.000000
GCF_000222975.1_ASM22297v1|WP_002209248.1	Yersinia pestis	15	0.000000
GCF_000006745.1_ASM674v1|WP_000516147.1	Vibrio cholerae	15	0.000000
GCF_008369605.1_ASM836960v1|WP_149560451.1	Vibrio cholerae	15	0.000000
GCF_000021045.1_ASM2104v1|WP_012702787.1	Azotobacter vinelandii	15	0.000000
GCF_000380335.1_ASM38033v1|WP_012702787.1	Azotobacter vinelandii	15	0.000000
GCF_000006765.1_ASM676v1|NP_253449.1	Pseudomonas aeruginosa	15	0.000000
GCF_000014625.1_ASM1462v1|WP_003095212.1	Pseudomonas aeruginosa	15	0.000000
GCF_000412675.1_ASM41267v1|WP_016501650.1	Pseudomonas putida	15	0.000000
GCF_000007565.2_ASM756v2|WP_010955366.1	Pseudomonas putida	15	0.000000
GCF_000008485.1_ASM848v1|WP_015444335.1	Legionella pneumophila	15	0.000000
GCF_001941585.1_ASM194158v1|WP_015444335.1	Legionella pneumophila	15	0.000000
GCF_000005845.2_ASM584v2|NP_414556.1	Escherichia coli	2223	0.000000
GCF_000009885.1_ASM988v1|WP_002887955.1	Klebsiella pneumoniae	2223	0.000000
GCF_000240185.1_ASM24018v2|YP_005225025.1	Klebsiella pneumoniae	2223	0.000000
GCF_000005845.2_ASM584v2|NP_414564.1	Escherichia coli	1374	0.000000
GCF_000009885.1_ASM988v1|WP_002887965.1	Klebsiella pneumoniae	1374	0.000000
GCF_000006945.2_ASM694v2|NP_459048.1	Salmonella enterica	1374	0.000000
GCF_000007545.1_ASM754v1|WP_001518655.1	Salmonella enterica	1374	0.000000
GCF_000240185.1_ASM24018v2|YP_005225029.1	Klebsiella pneumoniae	1374	0.000000
GCF_000005845.2_ASM584v2|NP_414573.1	Escherichia coli	221	0.000000
GCF_000006745.1_ASM674v1|WP_000045131.1	Vibrio cholerae	221	0.000000
GCF_008369605.1_ASM836960v1|WP_000045131.1	Vibrio cholerae	221	0.000000
GCF_000018445.1_ASM1844v1|WP_000106446.1	Acinetobacter baumannii	221	0.000000
GCF_009035845.1_ASM903584v1|WP_000106446.1	Acinetobacter baumannii	221	0.000000
GCF_000005845.2_ASM584v2|NP_414574.1	Escherichia coli	71	0.000000
GCF_000006945.2_ASM694v2|NP_459072.1	Salmonella enterica	71	0.000000
GCF_000007545.1_ASM754v1|WP_001126321.1	Salmonella enterica	71	0.000000
GCF_000009885.1_ASM988v1|WP_002888056.1	Klebsiella pneumoniae	71	0.000000
GCF_000240185.1_ASM24018v2|YP_005225053.1	Klebsiella pneumoniae	71	0.000000
GCF_000006645.1_ASM664v1|WP_002210502.1	Yersinia pestis	71	0.000000
GCF_000222975.1_ASM22297v1|WP_002210502.1	Yersinia pestis	71	0.000000
GCF_000006745.1_ASM674v1|WP_001126441.1	Vibrio cholerae	71	0.000000
GCF_008369605.1_ASM836960v1|WP_001126441.1	Vibrio cholerae	71	0.000000
GCF_000006765.1_ASM676v1|NP_253444.1	Pseudomonas aeruginosa	71	0.000000
GCF_000014625.1_ASM1462v1|WP_003095207.1	Pseudomonas aeruginosa	71	0.000000
GCF_000412675.1_ASM41267v1|WP_016501646.1	Pseudomonas putida	71	0.000000
GCF_000007565.2_ASM756v2|WP_010955363.1	Pseudomonas putida	71	0.000000
GCF_000021045.1_ASM2104v1|WP_012702783.1	Azotobacter vinelandii	71	0.000000
GCF_000380335.1_ASM38033v1|WP_012702783.1	Azotobacter vinelandii	71	0.000000
GCF_009035845.1_ASM903584v1|WP_001126293.1	Acinetobacter baumannii	71	0.000000
GCF_000018445.1_ASM1844v1|WP_001126298.1	Acinetobacter baumannii	71	0.000000
GCF_022869645.1_ASM2286964v1|WP_002246424.1	Neisseria meningitidis	71	0.000000
GCF_000008805.1_ASM880v1|WP_002225779.1	Neisseria meningitidis	71	0.000000
GCF_000008485.1_ASM848v1|WP_010948325.1	Legionella pneumophila	71	0.000000
GCF_001941585.1_ASM194158v1|WP_010948325.1	Legionella pneumophila	71	0.000000
GCF_000005845.2_ASM584v2|NP_414581.1	Escherichia coli	2224	0.000000
GCF_000006945.2_ASM694v2|NP_459078.1	Salmonella enterica	2224	0.000000
GCF_000007545.1_ASM754v1|WP_000347135.1	Salmonella enterica	2224	0.000000
GCF_000005845.2_ASM584v2|NP_414590.1	Escherichia coli	3866	0.000000
GCF_000007545.1_ASM754v1|WP_000624378.1	Salmonella enterica	3866	0.000000
GCF_000006945.2_ASM694v2|NP_459092.1	Salmonella enterica	3866	0.000000
GCF_000005845.2_ASM584v2|NP_414593.1	Escherichia coli	1942	0.000000
GCF_000009885.1_ASM988v1|WP_002888324.1	Klebsiella pneumoniae	1942	0.000000
GCF_000240185.1_ASM24018v2|YP_005225060.1	Klebsiella pneumoniae	1942	0.000000
GCF_000005845.2_ASM584v2|NP_414614.1	Escherichia coli	53	0.000000
GCF_000009885.1_ASM988v1|WP_004177417.1	Klebsiella pneumoniae	53	0.000000
GCF_000240185.1_ASM24018v2|YP_005225093.1	Klebsiella pneumoniae	53	0.000000
GCF_000006745.1_ASM674v1|WP_000030317.1	Vibrio cholerae	53	0.000000
GCF_008369605.1_ASM836960v1|WP_000030313.1	Vibrio cholerae	53	0.000000
GCF_000007125.1_ASM712v1|WP_004684442.1	Brucella melitensis	53	0.000000
GCF_000022625.1_ASM2262v1|WP_004684442.1	Brucella melitensis	53	0.000000
GCF_000021345.1_ASM2134v1|WP_003589724.1	Rhizobium leguminosarum	53	0.000000
