u	v	shared_kmers	jaccard	species_u	species_v
GCF_000005845.2_ASM584v2|NP_414545.1	GCF_000006765.1_ASM676v1|NP_252424.1	12	0.013746	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414547.1	GCF_000006765.1_ASM676v1|NP_252229.1	47	0.102174	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414548.1	GCF_000006765.1_ASM676v1|NP_252331.1	21	0.022926	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414548.1	GCF_000006765.1_ASM676v1|NP_250942.1	7	0.007447	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414549.1	GCF_000006765.1_ASM676v1|NP_251486.1	45	0.079086	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414555.1	GCF_000006765.1_ASM676v1|NP_253449.1	212	0.201330	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414555.1	GCF_000006765.1_ASM676v1|NP_252499.1	29	0.023810	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414556.1	GCF_000006765.1_ASM676v1|NP_253448.1	52	0.075253	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414564.1	GCF_000006765.1_ASM676v1|NP_253253.1	6	0.037037	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414566.1	GCF_000006765.1_ASM676v1|NP_253251.1	21	0.035354	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414567.1	GCF_000006765.1_ASM676v1|NP_253250.1	104	0.058857	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414568.1	GCF_000006765.1_ASM676v1|NP_253249.1	7	0.022152	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414570.1	GCF_000006765.1_ASM676v1|NP_253247.1	54	0.095406	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414572.1	GCF_000006765.1_ASM676v1|NP_253447.1	42	0.085890	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414573.1	GCF_000006765.1_ASM676v1|NP_253446.1	85	0.127820	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414574.1	GCF_000006765.1_ASM676v1|NP_253444.1	400	0.230548	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414582.1	GCF_000006765.1_ASM676v1|NP_252622.1	7	0.006140	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414587.1	GCF_000006765.1_ASM676v1|NP_252876.1	8	0.009227	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414589.1	GCF_000006765.1_ASM676v1|NP_249898.1	25	0.020868	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414591.1	GCF_000006765.1_ASM676v1|NP_249281.1	10	0.018416	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414592.1	GCF_000006765.1_ASM676v1|NP_249282.1	8	0.034335	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414593.1	GCF_000006765.1_ASM676v1|NP_249283.1	24	0.047337	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414594.1	GCF_000006765.1_ASM676v1|NP_249284.1	54	0.091062	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414600.1	GCF_000006765.1_ASM676v1|NP_251936.1	11	0.026895	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414601.1	GCF_000006765.1_ASM676v1|NP_251998.1	92	0.050661	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414602.1	GCF_000006765.1_ASM676v1|NP_250577.1	129	0.090147	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414608.1	GCF_000006765.1_ASM676v1|NP_248993.1	10	0.016779	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414608.1	GCF_000006765.1_ASM676v1|NP_249804.1	8	0.009975	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414608.1	GCF_000006765.1_ASM676v1|NP_250567.1	8	0.008538	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414608.1	GCF_000006765.1_ASM676v1|NP_251918.1	8	0.009709	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414608.1	GCF_000006765.1_ASM676v1|NP_252065.1	7	0.015453	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414608.1	GCF_000006765.1_ASM676v1|NP_248874.1	7	0.014170	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414608.1	GCF_000006765.1_ASM676v1|NP_252626.1	7	0.014644	Escherichia coli	Pseudomonas aeruginosa
