rank	z_robust	jaccard	shared_kmers	species_u	u	species_v	v
1	32.965695	0.918089	269	Bacillus subtilis	GCF_000186745.1_ASM18674v1|WP_000027050.1	Klebsiella pneumoniae	GCF_000240185.1_ASM24018v2|YP_005221002.1
2	32.965695	0.918089	269	Bacillus subtilis	GCF_000186745.1_ASM18674v1|WP_000027050.1	Klebsiella pneumoniae	GCF_000240185.1_ASM24018v2|YP_005221032.1
3	32.965695	0.918089	269	Bacillus subtilis	GCF_000186745.1_ASM18674v1|WP_000027050.1	Klebsiella pneumoniae	GCF_000240185.1_ASM24018v2|YP_005229680.1
4	23.928874	0.103125	33	Legionella pneumophila	GCF_000008485.1_ASM848v1|WP_015444127.1	Streptomyces coelicolor	GCF_000203835.1_ASM20383v1|WP_003973945.1
5	23.928874	0.103125	33	Legionella pneumophila	GCF_000008485.1_ASM848v1|WP_015444127.1	Streptomyces coelicolor	GCF_008931305.1_ASM893130v1|WP_003973945.1
6	23.928874	0.103125	33	Streptomyces coelicolor	GCF_000203835.1_ASM20383v1|WP_003973945.1	Legionella pneumophila	GCF_001941585.1_ASM194158v1|WP_015444127.1
7	23.928874	0.103125	33	Legionella pneumophila	GCF_001941585.1_ASM194158v1|WP_015444127.1	Streptomyces coelicolor	GCF_008931305.1_ASM893130v1|WP_003973945.1
8	22.500837	0.100000	71	Legionella pneumophila	GCF_000008485.1_ASM848v1|WP_010946438.1	Streptomyces coelicolor	GCF_000203835.1_ASM20383v1|WP_003972198.1
9	22.500837	0.100000	71	Legionella pneumophila	GCF_000008485.1_ASM848v1|WP_010946438.1	Streptomyces coelicolor	GCF_008931305.1_ASM893130v1|WP_003972198.1
10	22.500837	0.100000	71	Streptomyces coelicolor	GCF_000203835.1_ASM20383v1|WP_003972198.1	Legionella pneumophila	GCF_001941585.1_ASM194158v1|WP_010946438.1
11	22.500837	0.100000	71	Legionella pneumophila	GCF_001941585.1_ASM194158v1|WP_010946438.1	Streptomyces coelicolor	GCF_008931305.1_ASM893130v1|WP_003972198.1
12	20.963778	0.111111	99	Pseudomonas aeruginosa	GCF_000006765.1_ASM676v1|NP_252272.1	Clostridium perfringens	GCF_000009685.1_ASM968v1|WP_003462978.1
13	20.963778	0.111111	99	Pseudomonas aeruginosa	GCF_000006765.1_ASM676v1|NP_252272.1	Clostridium perfringens	GCF_016027375.1_ASM1602737v1|WP_003456800.1
14	20.963778	0.111111	99	Clostridium perfringens	GCF_000009685.1_ASM968v1|WP_003462978.1	Pseudomonas aeruginosa	GCF_000014625.1_ASM1462v1|WP_003092168.1
15	20.963778	0.111111	99	Pseudomonas aeruginosa	GCF_000014625.1_ASM1462v1|WP_003092168.1	Clostridium perfringens	GCF_016027375.1_ASM1602737v1|WP_003456800.1
16	19.809716	0.223958	43	Zymomonas mobilis	GCF_000007105.1_ASM710v1|WP_011240418.1	Bordetella pertussis	GCF_000193595.2_ASM19359v3|WP_005017264.1
17	19.809716	0.223958	43	Zymomonas mobilis	GCF_000007105.1_ASM710v1|WP_011240418.1	Bordetella pertussis	GCF_004008975.1_ASM400897v1|WP_005017264.1
18	19.809716	0.223958	43	Bordetella pertussis	GCF_000193595.2_ASM19359v3|WP_005017264.1	Zymomonas mobilis	GCF_000498655.1_ASM49865v1|WP_011240418.1
19	19.809716	0.223958	43	Zymomonas mobilis	GCF_000498655.1_ASM49865v1|WP_011240418.1	Bordetella pertussis	GCF_004008975.1_ASM400897v1|WP_005017264.1
20	17.171340	1.000000	110	Acinetobacter baumannii	GCF_000018445.1_ASM1844v1|WP_000679427.1	Klebsiella pneumoniae	GCF_000240185.1_ASM24018v2|YP_005221016.1
21	17.171340	1.000000	227	Acinetobacter baumannii	GCF_000018445.1_ASM1844v1|WP_001067855.1	Klebsiella pneumoniae	GCF_000240185.1_ASM24018v2|YP_005221000.1
22	17.171340	1.000000	227	Acinetobacter baumannii	GCF_000018445.1_ASM1844v1|WP_001067855.1	Klebsiella pneumoniae	GCF_000240185.1_ASM24018v2|YP_005221023.1
23	17.171340	1.000000	255	Klebsiella pneumoniae	GCF_000240185.1_ASM24018v2|YP_005221036.1	Acinetobacter baumannii	GCF_009035845.1_ASM903584v1|WP_001043260.1
24	16.991471	0.991228	226	Acinetobacter baumannii	GCF_000018445.1_ASM1844v1|WP_001067856.1	Klebsiella pneumoniae	GCF_000240185.1_ASM24018v2|YP_005221000.1
25	16.991471	0.991228	226	Acinetobacter baumannii	GCF_000018445.1_ASM1844v1|WP_001067856.1	Klebsiella pneumoniae	GCF_000240185.1_ASM24018v2|YP_005221023.1
