u	species	component_id	score	deg_xsp	n_species	max_z	top5_mean_z	max_species_fraction	species_entropy_norm	betweenness	clustering_coeff
GCF_000007685.1_ASM768v1|WP_001142358.1	Leptospira interrogans	5	14.670745	10	6	11.585731	10.319022	0.200000	0.975615		0.377778
GCF_002073495.2_ASM207349v2|WP_001142358.1	Leptospira interrogans	5	14.670745	10	6	11.585731	10.319022	0.200000	0.975615		0.377778
GCF_002302565.1_ASM230256v1|WP_042001317.1	Capnocytophaga canimorsus	32	13.421957	16	5	3.649206	3.348599	0.437500	0.904249		0.133333
GCF_000008805.1_ASM880v1|WP_002212612.1	Neisseria meningitidis	44	12.644026	29	15	7.125170	4.864496	0.068966	0.996307		0.192118
GCF_000193595.2_ASM19359v3|WP_005017264.1	Bordetella pertussis	5	12.593275	18	9	19.809716	13.570554	0.111111	1.000000		0.339869
GCF_004008975.1_ASM400897v1|WP_005017264.1	Bordetella pertussis	5	12.593275	18	9	19.809716	13.570554	0.111111	1.000000		0.339869
GCF_002073495.2_ASM207349v2|WP_001040194.1	Leptospira interrogans	2	11.672609	20	11	14.091024	10.871850	0.100000	0.989159		0.184211
GCF_000008805.1_ASM880v1|WP_002218431.1	Neisseria meningitidis	5	11.451578	27	14	10.514472	9.698109	0.074074	0.995947		0.279202
GCF_022869645.1_ASM2286964v1|WP_002218431.1	Neisseria meningitidis	5	11.451578	27	14	10.514472	9.698109	0.074074	0.995947		0.279202
GCF_022869645.1_ASM2286964v1|WP_002246380.1	Neisseria meningitidis	44	11.416253	26	14	7.400793	4.974745	0.076923	0.992123		0.233846
GCF_000010065.1_ASM1006v1|WP_011242968.1	Synechococcus elongatus	11	11.109317	10	5	5.039005	4.010268	0.300000	0.967489		0.088889
GCF_022984195.1_ASM2298419v1|WP_011242968.1	Synechococcus elongatus	11	11.109317	10	5	5.039005	4.010268	0.300000	0.967489		0.088889
GCF_000007685.1_ASM768v1|WP_001040194.1	Leptospira interrogans	2	10.994844	20	11	14.091024	10.871850	0.100000	0.989159		0.231579
GCF_000007125.1_ASM712v1|WP_002964366.1	Brucella melitensis	5	10.866108	10	5	14.735472	10.238973	0.200000	1.000000		0.533333
GCF_000022625.1_ASM2262v1|WP_002964366.1	Brucella melitensis	5	10.866108	10	5	14.735472	10.238973	0.200000	1.000000		0.533333
GCF_000007125.1_ASM712v1|WP_002964508.1	Brucella melitensis	44	10.764352	21	11	7.856018	6.624362	0.095238	0.994365		0.357143
GCF_000022625.1_ASM2262v1|WP_002964508.1	Brucella melitensis	44	10.764352	21	11	7.856018	6.624362	0.095238	0.994365		0.357143
GCF_000203835.1_ASM20383v1|WP_003948652.1	Streptomyces coelicolor	5	10.689942	20	11	14.832261	11.968841	0.100000	0.989159		0.384211
GCF_000012125.1_ASM1212v1|WP_009871794.1	Chlamydia trachomatis	5	10.206332	10	5	2.248472	2.248472	0.200000	1.000000		0.266667
GCF_000008725.1_ASM872v1|NP_219951.2	Chlamydia trachomatis	5	10.206332	10	5	2.016935	2.016935	0.200000	1.000000		0.266667
GCF_000006745.1_ASM674v1|WP_000710446.1	Vibrio cholerae	595	9.978978	6	3	3.261090	3.261090	0.333333	1.000000		0.000000
GCF_008369605.1_ASM836960v1|WP_000710448.1	Vibrio cholerae	595	9.978978	6	3	3.261090	3.261090	0.333333	1.000000		0.000000
GCF_000007105.1_ASM710v1|WP_011240418.1	Zymomonas mobilis	5	9.387690	10	5	19.809716	12.751555	0.200000	1.000000		0.711111
GCF_000498655.1_ASM49865v1|WP_011240418.1	Zymomonas mobilis	5	9.387690	10	5	19.809716	12.751555	0.200000	1.000000		0.711111
GCF_000009045.1_ASM904v1|NP_388759.2	Bacillus subtilis	41	9.124557	21	11	14.795506	13.614582	0.095238	0.994365		0.347619
GCF_000010065.1_ASM1006v1|WP_011242965.1	Synechococcus elongatus	5	9.072277	12	6	14.735472	12.450223	0.166667	1.000000		0.242424
GCF_022984195.1_ASM2298419v1|WP_011242965.1	Synechococcus elongatus	5	9.072277	12	6	14.735472	12.450223	0.166667	1.000000		0.242424
GCF_000007205.1_ASM720v1|WP_010883190.1	Chlamydia pneumoniae	5	8.969201	10	5	2.248472	2.132703	0.200000	1.000000		0.355556
GCF_000008745.1_ASM874v1|WP_010883190.1	Chlamydia pneumoniae	5	8.969201	10	5	2.248472	2.132703	0.200000	1.000000		0.355556
GCF_000007785.1_ASM778v1|WP_002389727.1	Enterococcus faecalis	8	8.471118	24	12	12.365478	7.740537	0.083333	1.000000		0.304348
GCF_000186745.1_ASM18674v1|WP_015714996.1	Bacillus subtilis	90	8.443229	5	3	3.005037	2.287951	0.400000	0.960230		0.600000
GCF_000186745.1_ASM18674v1|WP_015715545.1	Bacillus subtilis	41	8.224785	20	10	14.407474	12.884002	0.100000	1.000000		0.357895
GCF_000018445.1_ASM1844v1|WP_001072861.1	Acinetobacter baumannii	41	8.065749	29	15	10.863659	9.925907	0.068966	0.996307		0.369458
GCF_000014625.1_ASM1462v1|WP_003135615.1	Pseudomonas aeruginosa	41	7.993425	29	15	14.795506	8.945160	0.068966	0.996307		0.307882
